county,x,y
Alba,-121,17
Arad,-290,40
Arges,-25,-110
Bacau,135,50
Bihor,-248,110
Bistrita-Nasaud,-75,145
Botosani,125,220
Brasov,10,-20
Braila,210,-93
Buzau,127,-67
Caras-Severin,-285,-97
Calarasi,146,-188
Cluj,-144,91
Constanta,257,-200
Covasna,63,0
Dambovita,23,-140
Dolj,-125,-210
Galati,220,-15
Giurgiu,66,-215
Gorj,-135,-105
Harghita,27,58
Hunedoara,-199,-10
Ialomita,185,-148
Iasi,182,149
Ilfov,88,-160
Maramures,-100,198
Mehedinti,-200,-180
Mures,-40,70
Neamt,90,125
Olt,-48,-200
Prahova,75,-100
Satu Mare,-195,200
Salaj,-170,148
Sibiu,-71,-5
Suceava,40,190
Teleorman,0,-210
Timis,-300,-30
Tulcea,314,-100
Vaslui,221,60
Valcea,-85,-85
Vrancea,140,-17
